beer_beerid,review_overall,review_aroma,review_appearance,review_palate,review_taste,beer_abv
64636,4.0,3.5,4.0,4.0,4.0,6.2
75177,3.5,3.0,4.0,4.0,3.5,9.5
20011,1.0,1.0,1.0,1.0,1.0,5.5
61282,4.5,3.0,3.0,4.0,4.0,3.8
59207,3.5,3.5,4.0,3.0,4.0,5.3
42958,3.9411764705882355,3.9411764705882355,4.0,3.823529411764706,3.9705882352941178,6.0
29687,3.7837423312883436,3.8450920245398774,3.8220858895705523,3.5153374233128836,3.753067484662577,8.5
46864,3.8,3.575,3.975,3.85,3.8,6.3
7585,3.0942028985507246,2.6159420289855073,2.9347826086956523,2.8043478260869565,2.869565217391304,4.7
1578,3.7465753424657535,3.910958904109589,3.458904109589041,3.6164383561643834,3.808219178082192,7.0
25353,3.7752100840336134,3.926470588235294,4.023109243697479,3.869747899159664,3.8529411764705883,7.8
6379,3.2916666666666665,2.7083333333333335,2.9583333333333335,3.0416666666666665,3.0416666666666665,5.5
29787,3.0,2.25,4.0,3.5,2.75,5.0
842,3.392857142857143,3.1785714285714284,3.738095238095238,3.261904761904762,3.3095238095238093,0.3
74918,2.5,3.0,3.0,3.0,3.0,5.8
575,3.977726574500768,3.665898617511521,3.9385560675883258,3.8210445468509984,3.8525345622119818,5.0
41019,3.7439446366782008,3.7318339100346023,3.9186851211072664,3.8131487889273354,3.7474048442906573,8.7
33880,3.6875,3.6875,3.8125,3.625,3.625,4.5
33258,3.730769230769231,4.0,3.7115384615384617,3.4615384615384617,3.6346153846153846,4.0
71579,3.5,3.5,4.0,3.5,3.5,5.3
39937,3.5,3.5,3.0,3.5,3.5,8.5
36381,4.384615384615385,4.3076923076923075,4.3076923076923075,4.076923076923077,4.230769230769231,5.2
17117,4.0,3.875,3.875,3.875,4.0,5.8
12127,3.5,3.0,3.0,3.5,3.5,4.5
50978,4.0,4.0,3.0,4.5,3.5,4.2
11715,3.8333333333333335,3.5,3.0,3.8333333333333335,3.6666666666666665,5.3
45424,3.6666666666666665,3.8333333333333335,3.8333333333333335,3.6666666666666665,3.5,5.0
49626,3.9482758620689653,3.9827586206896552,4.0,3.706896551724138,3.7758620689655173,6.2
50668,4.4411764705882355,4.705882352941177,3.8529411764705883,4.4411764705882355,4.617647058823529,17.0
576,4.154552410099464,3.9257842387146136,4.125478194338179,3.9969395562356542,4.098699311400153,5.0
38638,3.9166666666666665,4.041666666666667,3.9166666666666665,3.4166666666666665,3.75,3.9
45655,4.25,3.5,4.0,3.75,3.75,5.5
20985,2.0,2.0,2.5833333333333335,2.0833333333333335,2.0,5.9
58685,3.084070796460177,3.438053097345133,3.7831858407079646,3.3805309734513274,3.2123893805309733,10.0
39451,3.5,3.5,3.5,4.0,3.5,5.0
24960,3.5,3.0,3.0,3.5,3.5,5.0
65762,4.416666666666667,4.083333333333333,4.0,4.166666666666667,4.333333333333333,9.5
38092,3.4358974358974357,3.6923076923076925,3.6666666666666665,3.576923076923077,3.5256410256410255,7.5
63958,3.857142857142857,3.7142857142857144,3.857142857142857,3.857142857142857,3.9047619047619047,6.7
61519,3.5,4.0,3.5,3.5,3.5,4.2
17007,3.8947368421052633,3.6315789473684212,3.973684210526316,3.8157894736842106,3.8421052631578947,6.4
23721,2.875,3.0,3.375,2.875,3.0,5.0
35963,3.6,3.6,3.8,3.8,3.9,9.2
37173,3.5,4.25,3.75,3.5,3.75,10.2
23350,3.8333333333333335,3.3333333333333335,3.6666666666666665,3.5,3.5,5.2
67547,4.0,4.0,4.0,4.0,4.0,7.0
39816,3.0833333333333335,3.0833333333333335,3.5,3.1666666666666665,3.25,5.7
43435,3.5,3.5,3.3333333333333335,3.4166666666666665,3.25,5.5
75475,3.8333333333333335,3.3333333333333335,4.166666666666667,3.5,3.8333333333333335,6.9
58158,5.0,5.0,5.0,4.5,5.0,8.9
18942,3.8359375,3.78125,3.8046875,3.65625,3.8359375,6.0
43974,3.59375,3.71875,3.79375,3.65625,3.675,8.5
58298,4.666666666666667,4.0,4.166666666666667,4.166666666666667,4.5,9.5
46255,4.25,3.0,3.5,3.5,3.25,5.0
19609,3.5,2.5,3.5,3.0,2.5,5.5
75748,4.0,5.0,4.0,4.5,4.0,12.5
51140,3.576923076923077,3.3461538461538463,3.6153846153846154,3.4038461538461537,3.4615384615384617,5.3
31815,2.5,3.5,3.5,2.5,3.0,3.8
1893,4.088235294117647,3.823529411764706,4.0588235294117645,3.911764705882353,4.147058823529412,6.6
57544,3.5217391304347827,3.4565217391304346,3.6956521739130435,3.4565217391304346,3.369565217391304,8.0
70655,3.5,2.5,4.0,3.5,3.0,4.0
59536,3.0,3.0,3.3333333333333335,3.1666666666666665,3.3333333333333335,4.8
28269,3.75,3.0,3.5,3.75,3.75,6.0
38266,4.0,3.5,3.5,3.0,3.0,5.0
60586,3.5,3.5,3.5,3.5,3.5,5.2
54899,2.5,2.5,3.5,3.0,3.0,4.0
43575,3.8507462686567164,3.529850746268657,3.5597014925373136,3.7761194029850746,3.6044776119402986,4.7
64704,3.0,3.0,3.5,3.0,2.5,5.0
60884,3.5,3.75,3.75,4.0,3.75,6.0
41795,4.204545454545454,4.136363636363637,4.068181818181818,4.159090909090909,4.181818181818182,7.8
74452,4.5,4.666666666666667,4.333333333333333,4.666666666666667,4.666666666666667,6.9
66035,3.4285714285714284,3.5,3.9285714285714284,3.4285714285714284,3.5714285714285716,10.2
34596,4.0,4.0,5.0,4.0,4.5,8.8
8977,3.388888888888889,3.111111111111111,3.611111111111111,3.388888888888889,3.3333333333333335,5.4
5904,3.5,3.3333333333333335,2.6666666666666665,3.5,3.6666666666666665,6.5
31020,4.0,3.75,3.75,3.5833333333333335,3.75,5.6
7810,4.25,4.0,4.0,3.75,4.25,4.3
63017,3.7906976744186047,3.6744186046511627,3.4651162790697674,3.488372093023256,3.6627906976744184,5.5
59473,1.5,2.0,3.0,3.0,1.5,4.5
41924,3.9583333333333335,3.9166666666666665,3.875,3.9166666666666665,3.9166666666666665,6.6
29476,3.0,2.5,3.0,3.0,3.5,4.6
44112,4.641304347826087,4.619565217391305,4.043478260869565,4.456521739130435,4.695652173913044,7.0
41478,4.5,4.5,4.0,4.0,4.5,5.8
49847,4.208333333333333,4.75,3.625,4.291666666666667,4.458333333333333,17.0
62157,4.277777777777778,4.388888888888889,4.166666666666667,4.055555555555555,4.111111111111111,7.0
36751,3.578125,3.390625,3.515625,3.40625,3.375,7.0
67629,4.5,4.0,4.0,4.5,4.0,4.9
71751,3.6818181818181817,3.727272727272727,4.0,3.909090909090909,3.8181818181818183,9.0
62715,4.5,3.5,4.5,4.0,4.5,4.8
60752,3.125,3.5,3.75,3.5,3.125,6.0
26942,3.5,4.0,4.5,4.5,4.0,12.5
44109,4.0,3.5,4.0,3.5,4.0,4.0
54794,4.0,3.5,4.0,4.0,4.0,5.6
77155,4.0,4.0,3.5,3.5,4.5,5.0
52034,4.5,3.5,3.0,4.0,4.0,5.5
44359,3.5,3.25,3.5,3.75,3.5,5.7
4663,3.25,2.5,2.5,2.5,3.0,5.0
54932,3.6666666666666665,3.6666666666666665,4.333333333333333,3.8333333333333335,4.0,8.5
76449,4.0,3.5,4.0,3.5,4.0,7.0
36522,4.25,4.0,4.25,4.25,4.125,12.9
47651,4.0,3.0,3.0,4.0,4.0,6.5
39944,3.8333333333333335,4.0,3.8333333333333335,3.5,3.8333333333333335,6.0
64299,3.625,3.5,3.375,3.5,3.625,7.5
54750,3.9705882352941178,4.029411764705882,4.029411764705882,3.823529411764706,4.0,7.2
4539,3.75,3.5,3.25,3.25,3.25,6.8
72043,3.6666666666666665,3.8333333333333335,3.8333333333333335,3.8333333333333335,3.6666666666666665,5.6
53311,4.0,4.25,4.0,4.0,4.0,11.0
66714,3.6666666666666665,4.0,3.8333333333333335,3.8333333333333335,3.8333333333333335,14.0
3893,3.6923076923076925,3.6538461538461537,3.423076923076923,3.576923076923077,3.730769230769231,6.0
30329,3.0,3.5,3.0,3.0,3.5,4.5
61504,4.0,3.5,3.0,3.0,4.0,4.5
52878,4.5,4.0,4.0,4.0,4.0,5.4
37450,3.3,3.1,3.3,3.3,3.3,5.0
61725,4.0,4.333333333333333,3.8333333333333335,3.8333333333333335,4.0,5.5
39694,4.285714285714286,3.761904761904762,4.023809523809524,3.9761904761904763,4.071428571428571,4.4
12241,3.0,2.5,3.0,2.5,3.0,5.3
47998,3.7666666666666666,3.7333333333333334,4.0,3.8,3.8666666666666667,9.1
70952,3.0,3.0,3.5,3.5,3.5,4.9
38247,3.0,3.0,3.0,3.0,3.0,5.2
53794,4.0,3.9,3.7,3.7,3.9,5.2
55653,4.0,3.0,4.0,3.5,3.5,4.8
59790,3.5,3.6666666666666665,3.5,3.8333333333333335,3.6666666666666665,8.2
50081,3.9441489361702127,4.039893617021277,4.1436170212765955,4.0212765957446805,4.031914893617022,7.5
65065,3.9,4.1,4.4,4.0,3.9,8.0
11722,2.0,2.5,2.5,2.5,2.0,4.8
76956,2.5,3.0,2.0,2.0,2.5,4.6
73394,3.5,3.5,3.75,3.75,3.5,6.2
60254,3.5,3.5,4.0,3.5,3.5,4.5
44885,3.875,3.75,3.875,3.875,3.75,7.2
56769,3.0,3.0,4.0,3.5,2.75,6.6
44435,3.6666666666666665,3.8333333333333335,4.5,3.6666666666666665,3.6666666666666665,9.25
66067,3.6666666666666665,3.5,3.8333333333333335,3.6666666666666665,3.8333333333333335,4.8
32972,2.5,2.107142857142857,2.392857142857143,2.607142857142857,2.25,4.9
62984,4.008116883116883,3.824675324675325,3.917207792207792,3.8766233766233764,3.9675324675324677,6.0
72753,4.0,3.75,3.75,4.5,4.0,6.7
76929,4.5,4.0,4.0,4.0,4.5,10.0
27701,3.5344827586206895,3.1379310344827585,3.603448275862069,3.293103448275862,3.3620689655172415,4.5
21880,2.0714285714285716,2.0714285714285716,2.4285714285714284,2.0714285714285716,2.142857142857143,4.7
27854,3.2777777777777777,2.7222222222222223,3.7222222222222223,3.2222222222222223,3.0555555555555554,3.7
54184,3.611111111111111,3.7777777777777777,3.7222222222222223,3.4444444444444446,3.8333333333333335,8.2
8759,3.089041095890411,2.815068493150685,3.0821917808219177,2.952054794520548,2.8904109589041096,4.9
70999,4.5,4.5,4.0,4.5,4.5,4.8
64033,4.083333333333333,3.8333333333333335,4.375,3.9166666666666665,4.041666666666667,8.0
57296,3.909090909090909,3.522727272727273,3.4545454545454546,3.75,3.6363636363636362,5.0
43232,4.0,4.5,4.5,4.0,4.0,5.6
25654,3.75,3.75,3.75,3.625,3.75,3.7
63962,3.5,3.5,3.5,4.5,3.0,5.5
61241,4.107142857142857,4.2,4.014285714285714,4.064285714285714,4.228571428571429,8.0
67360,4.1,4.6,4.0,4.0,4.4,8.8
68676,4.311320754716981,4.339622641509434,3.839622641509434,4.09433962264151,4.4245283018867925,8.0
75925,4.0,4.0,4.0,4.0,3.5,5.6
45116,3.142857142857143,2.857142857142857,3.5714285714285716,2.7857142857142856,3.0,4.7
75360,2.0,2.0,2.0,2.5,2.0,5.5
982,3.735955056179775,3.49438202247191,3.6179775280898876,3.5842696629213484,3.5898876404494384,4.7
20690,3.5,3.5,3.0,3.5,3.5,6.0
42454,3.5,3.5,4.0,4.0,3.5,5.29
8631,3.0,3.0,3.0,3.25,3.25,5.5
61464,2.0,1.5,3.5,3.5,2.5,6.3
62378,3.25,3.375,3.8333333333333335,3.3333333333333335,3.125,5.5
13002,4.0,4.0,3.5,3.0,4.0,5.0
3651,3.9444444444444446,3.814814814814815,3.888888888888889,3.759259259259259,3.759259259259259,4.9
31420,3.5,3.0,4.0,3.0,3.5,4.0
63606,4.333333333333333,4.0,3.5,3.8333333333333335,4.166666666666667,9.0
68690,2.0,3.5,3.5,2.5,2.0,5.5
45339,3.3333333333333335,2.8333333333333335,2.9166666666666665,3.1666666666666665,3.0833333333333335,6.0
69712,3.625,3.5,3.825,3.75,3.625,4.5
77122,2.5,2.5,2.5,2.5,2.5,5.0
41562,3.5,3.5,3.0,3.0,3.0,3.7
54615,4.666666666666667,4.833333333333333,4.5,4.833333333333333,4.833333333333333,10.5
20515,4.333333333333333,3.6666666666666665,4.0,4.0,4.166666666666667,5.0
7773,3.652173913043478,3.4565217391304346,3.6739130434782608,3.369565217391304,3.5652173913043477,5.5
10706,4.5,3.5,4.0,4.5,4.0,5.0
76858,3.5,4.0,4.0,3.5,3.5,9.0
18534,3.0714285714285716,2.9642857142857144,3.2857142857142856,3.142857142857143,2.9642857142857144,5.0
26853,3.5,3.0,4.0,3.5,4.0,4.7
26919,4.5,4.0,4.0,4.0,4.5,6.5
69010,3.84375,3.75,3.9635416666666665,3.8072916666666665,3.8958333333333335,7.3
60035,3.0,3.5,4.0,3.5,3.5,4.9
47455,4.5,3.5,4.0,3.5,3.5,5.2
1998,3.9150943396226414,4.2075471698113205,4.084905660377358,3.9716981132075473,4.066037735849057,5.0
44588,2.5,2.0,3.5,3.0,2.0,6.0
49773,3.5,3.0,3.0,3.0,4.0,4.2
43893,3.4537037037037037,3.3333333333333335,3.4722222222222223,3.1481481481481484,3.3518518518518516,4.0
76223,3.5,3.5,4.0,3.5,3.5,6.2
27930,3.0,3.5,3.75,3.0,3.25,4.6
64991,3.5,3.0,2.0,3.0,2.5,4.5
25268,2.5,2.0,3.0,3.5,2.0,2.8
13860,2.6,2.6,3.2,3.0,2.7,5.7
6159,3.7291666666666665,3.6041666666666665,3.6875,3.6041666666666665,3.5416666666666665,6.5
70278,4.5,4.0,3.5,4.0,4.5,6.0
58119,3.9838709677419355,3.725806451612903,4.048387096774194,3.8870967741935485,3.806451612903226,7.0
70610,3.5,3.5,3.5,3.5,4.0,6.0
5049,3.653225806451613,3.532258064516129,3.763440860215054,3.5376344086021505,3.53494623655914,5.9
11757,4.355096193205076,4.411174785100287,4.363692181743757,4.387433483422022,4.4997953336062215,8.3
61794,3.9166666666666665,3.6666666666666665,4.0,3.6666666666666665,3.75,4.9
61321,4.5,4.0,3.5,4.5,4.0,4.6
55649,4.0,3.25,3.75,3.75,4.25,10.0
47202,1.5,1.0,3.0,3.0,1.5,5.0
2023,4.139269406392694,3.963470319634703,4.148401826484018,4.063926940639269,4.091324200913242,7.45
29450,3.75,4.0,3.0,3.25,3.75,6.7
29196,2.0,3.0,3.0,2.0,2.5,1.0
63783,4.5,4.0,4.0,5.0,4.0,9.0
12827,3.9,3.6,3.5,3.5,3.6,4.3
27676,3.4444444444444446,3.3055555555555554,3.4166666666666665,3.388888888888889,3.388888888888889,5.6
30271,3.75,3.5,3.5,4.25,4.0,8.4
76967,4.0,3.5,4.0,4.0,3.5,6.0
63548,4.125,4.125,3.875,3.625,4.25,5.0
46828,3.0,3.0,4.0,3.0,2.5,6.0
58505,4.5,4.25,4.25,4.0,4.5,8.5
58402,4.0,3.642857142857143,3.9285714285714284,3.5714285714285716,3.7142857142857144,4.6
43272,4.25,4.0,4.5,4.25,4.0,6.8
39205,2.5,2.5,3.0,3.0,2.0,6.1
26415,3.625,3.625,3.75,3.75,3.75,6.0
37857,2.5,3.0,4.0,3.0,2.5,4.6
11440,3.4285714285714284,3.857142857142857,3.857142857142857,3.642857142857143,4.0,5.0
47433,4.0,3.9444444444444446,4.148148148148148,3.8333333333333335,3.925925925925926,8.1
65318,4.125,4.25,4.0,4.0,4.125,9.8
53217,4.37037037037037,4.037037037037037,4.203703703703703,4.12962962962963,4.111111111111111,4.2
774,3.4462025316455698,3.098101265822785,3.4588607594936707,3.2753164556962027,3.268987341772152,5.2
29509,4.0,3.5,3.75,4.0,4.0,8.0
5778,3.4285714285714284,3.5714285714285716,3.2857142857142856,3.357142857142857,3.142857142857143,4.0
68758,4.0,4.045454545454546,3.8863636363636362,3.8863636363636362,4.090909090909091,6.8
61286,3.75,3.5,3.75,4.0,3.5,7.0
35599,3.5,4.5,3.5,4.0,4.0,8.2
50314,4.0,4.0,4.0,4.0,4.0,5.0
29254,3.8333333333333335,4.0,4.0,3.6666666666666665,4.0,5.5
70632,4.75,4.0,4.25,5.0,4.25,12.0
57622,3.0,3.0,3.0,3.0,3.0,4.9
25917,3.5416666666666665,3.0833333333333335,3.375,3.4166666666666665,3.25,7.0
16437,3.71875,3.8125,4.0,3.90625,3.8125,8.0
53433,4.159498207885305,4.093189964157706,3.953405017921147,4.041218637992832,4.204301075268817,4.8
74051,4.5,4.5,4.0,4.0,4.5,6.6
51446,4.0,3.9,3.7,3.9,3.9,5.0
29868,3.0,2.5,3.0,3.0,3.0,5.2
26543,2.8333333333333335,4.0,2.8333333333333335,3.6666666666666665,2.6666666666666665,9.5
50331,3.9146825396825395,3.982142857142857,4.248015873015873,4.079365079365079,4.079365079365079,10.0
27245,3.280701754385965,3.289473684210526,3.8508771929824563,3.473684210526316,3.210526315789474,6.3
49711,2.75,3.0,3.25,2.75,3.25,5.1
44000,3.0,3.0,3.0,3.0,3.0,5.2
38103,4.333333333333333,3.8333333333333335,4.0,4.0,4.5,5.4
51394,3.5,3.5,4.0,4.0,3.5,5.3
54109,4.0,3.5,4.0,3.0,3.5,5.6
42578,3.1875,3.1875,3.0,3.0,3.0625,4.7
62253,4.39937106918239,4.427672955974843,4.3081761006289305,4.289308176100629,4.449685534591195,10.1
49984,4.0,3.6666666666666665,4.0,3.8333333333333335,4.0,6.6
51815,3.5,3.5,3.5,3.5,3.5,10.0
19769,3.5,3.5,4.0,3.5,3.5,5.3
55988,4.0,3.5,3.5,3.5,4.0,4.5
66169,3.0,3.5,4.5,4.0,3.5,7.1
74755,4.0,4.0,3.8333333333333335,3.8333333333333335,4.166666666666667,9.5
39716,3.25,3.625,3.375,3.125,3.375,6.5
45158,3.625,3.1875,3.875,3.375,3.1875,5.5
4911,5.0,5.0,4.5,4.5,5.0,6.8
12428,4.0,4.0,4.25,4.25,4.25,5.3
39381,4.0,3.8125,3.9375,4.0625,4.125,10.5
60091,3.0,4.5,4.5,3.5,3.5,10.5
31725,4.083333333333333,3.6666666666666665,4.083333333333333,3.8333333333333335,3.8333333333333335,6.0
6849,4.05,3.7,4.1,3.85,4.15,5.2
49666,4.1,4.0,3.8,3.8,3.8,6.0
30384,5.0,5.0,5.0,4.5,5.0,3.3
4889,4.148648648648648,3.918918918918919,3.675675675675676,3.864864864864865,4.027027027027027,5.25
34039,3.5,3.25,3.25,3.0,3.0,4.2
20364,3.5833333333333335,3.0416666666666665,3.2291666666666665,3.25,3.2291666666666665,5.0
